concept,kind,target_positive_count,pred_positive_count,threshold,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_target
gendered_organization_or_award,proxy_sensitive,3,0,0.5,0.9985,0.0,0.0,0.0,0.0,0.001500000013038516
legal_support_work,utility,24,14,0.5,0.985,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.007000000216066837,0.012000000104308128
manual_body_treatment,utility,7,2,0.5,0.9965,0.5,0.14285714285714285,0.22222222222222224,0.0010000000474974513,0.0035000001080334187
media_interviews_or_features,utility,44,13,0.5,0.9785,0.5384615384615384,0.1590909090909091,0.2456140350877193,0.006500000134110451,0.02199999988079071
online_public_presence,utility,104,33,0.5,0.9485,0.5151515151515151,0.16346153846153846,0.24817518248175183,0.016499999910593033,0.052000001072883606
celebrity_or_public_attention,utility,11,5,0.5,0.994,0.4,0.18181818181818182,0.25000000000000006,0.0024999999441206455,0.005499999970197678
public_speaking_or_events,utility,94,22,0.5,0.957,0.6818181818181818,0.1595744680851064,0.25862068965517243,0.010999999940395355,0.04699999839067459
business_or_management_education,utility,25,10,0.5,0.9875,0.5,0.2,0.28571428571428575,0.004999999888241291,0.012500000186264515
fitness_instruction,utility,15,5,0.5,0.993,0.6,0.2,0.3,0.0024999999441206455,0.007499999832361937
religious_ministry,utility,16,9,0.5,0.9915,0.4444444444444444,0.25,0.32,0.0044999998062849045,0.00800000037997961
interior_or_decorative_design,utility,4,2,0.5,0.998,0.5,0.25,0.3333333333333333,0.0010000000474974513,0.0020000000949949026
technical_infrastructure,utility,11,6,0.5,0.9945,0.5,0.2727272727272727,0.3529411764705882,0.003000000026077032,0.005499999970197678
child_or_family_care_mentions,proxy_sensitive,42,36,0.5,0.975,0.3888888888888889,0.3333333333333333,0.358974358974359,0.017999999225139618,0.020999999716877937
classroom_instruction,utility,112,67,0.5,0.9475,0.5522388059701493,0.33035714285714285,0.4134078212290503,0.03350000083446503,0.0560000017285347
appearance_or_body_presentation,proxy_sensitive,22,8,0.5,0.992,0.875,0.3181818181818182,0.4666666666666667,0.004000000189989805,0.010999999940395355
fashion_or_modeling_work,utility,27,9,0.5,0.991,1.0,0.3333333333333333,0.5,0.0044999998062849045,0.013500000350177288
financial_or_accounting_work,utility,36,15,0.5,0.9875,0.8666666666666667,0.3611111111111111,0.5098039215686274,0.007499999832361937,0.017999999225139618
parent_role_mentions,proxy_sensitive,48,46,0.5,0.977,0.5217391304347826,0.5,0.5106382978723404,0.023000000044703484,0.024000000208616257
organizational_role_or_administration,utility,276,209,0.5,0.8895,0.631578947368421,0.4782608695652174,0.5443298969072164,0.10450000315904617,0.1379999965429306
business_or_client_service,utility,149,139,0.5,0.935,0.5683453237410072,0.5302013422818792,0.5486111111111112,0.06949999928474426,0.07450000196695328
public_presence_or_recognition,utility,182,143,0.5,0.9275,0.6293706293706294,0.4945054945054945,0.5538461538461539,0.07150000333786011,0.09099999815225601
management_or_leadership,utility,305,224,0.5,0.8855,0.6696428571428571,0.4918032786885246,0.5671077504725898,0.1120000034570694,0.1525000035762787
spouse_or_partner_mentions,proxy_sensitive,59,42,0.5,0.9795,0.7142857142857143,0.5084745762711864,0.594059405940594,0.020999999716877937,0.029500000178813934
therapy_or_counseling,utility,52,38,0.5,0.983,0.7368421052631579,0.5384615384615384,0.6222222222222222,0.01899999938905239,0.026000000536441803
comedy_or_stage_performance,utility,32,19,0.5,0.9905,0.8421052631578947,0.5,0.6274509803921569,0.009499999694526196,0.01600000075995922
music_composition,utility,20,15,0.5,0.9935,0.7333333333333333,0.55,0.6285714285714286,0.007499999832361937,0.009999999776482582
live_music_or_recording,utility,28,16,0.5,0.992,0.875,0.5,0.6363636363636364,0.00800000037997961,0.014000000432133675
media_or_publishing_work,utility,269,215,0.5,0.912,0.7162790697674418,0.5724907063197026,0.6363636363636364,0.10750000178813934,0.13449999690055847
research_publications,utility,232,207,0.5,0.9285,0.714975845410628,0.6379310344827587,0.6742596810933941,0.10350000113248825,0.11599999666213989
reporting_or_news_work,utility,71,62,0.5,0.9785,0.7258064516129032,0.6338028169014085,0.6766917293233083,0.03099999949336052,0.03550000116229057
teaching_or_instruction,utility,376,292,0.5,0.898,0.7945205479452054,0.6170212765957447,0.6946107784431137,0.1459999978542328,0.18799999356269836
software_development,utility,62,40,0.5,0.985,0.9,0.5806451612903226,0.7058823529411764,0.019999999552965164,0.03099999949336052
nutrition_or_diet_guidance,utility,28,20,0.5,0.993,0.85,0.6071428571428571,0.7083333333333333,0.009999999776482582,0.014000000432133675
technical_or_engineering_work,utility,112,94,0.5,0.97,0.776595744680851,0.6517857142857143,0.7087378640776699,0.04699999839067459,0.0560000017285347
male_gendered_titles,direct_sensitive,61,63,0.5,0.982,0.6984126984126984,0.7213114754098361,0.7096774193548387,0.03150000050663948,0.030500000342726707
literary_writing,utility,135,138,0.5,0.9605,0.7028985507246377,0.7185185185185186,0.7106227106227107,0.0689999982714653,0.06750000268220901
film_or_video_production,utility,64,49,0.5,0.9845,0.8367346938775511,0.640625,0.7256637168141593,0.02449999935925007,0.03200000151991844
mind_body_practice,utility,25,16,0.5,0.9945,0.9375,0.6,0.7317073170731707,0.00800000037997961,0.012500000186264515
surgical_work,utility,85,120,0.5,0.9745,0.6416666666666667,0.9058823529411765,0.751219512195122,0.05999999865889549,0.042500000447034836
building_or_spatial_design,utility,38,39,0.5,0.9905,0.7435897435897436,0.7631578947368421,0.7532467532467534,0.019500000402331352,0.01899999938905239
scientific_or_lab_research,utility,315,306,0.5,0.9255,0.7712418300653595,0.7492063492063492,0.7600644122383253,0.15299999713897705,0.1574999988079071
visual_art_practice,utility,143,114,0.5,0.9705,0.868421052631579,0.6923076923076923,0.7704280155642023,0.05700000002980232,0.07150000333786011
design_work,utility,60,54,0.5,0.989,0.8518518518518519,0.7666666666666667,0.8070175438596491,0.027000000700354576,0.029999999329447746
advanced_degree_or_training,utility,738,834,0.5,0.853,0.7661870503597122,0.8658536585365854,0.8129770992366412,0.4169999957084656,0.36899998784065247
camera_or_photography_work,utility,107,94,0.5,0.9815,0.8723404255319149,0.7663551401869159,0.8159203980099503,0.04699999839067459,0.05350000038743019
medical_training,utility,265,314,0.5,0.9515,0.767515923566879,0.909433962264151,0.8324697754749569,0.15700000524520874,0.13249999284744263
creative_or_artistic_work,utility,409,424,0.5,0.9315,0.8207547169811321,0.8508557457212714,0.8355342136854743,0.21199999749660492,0.2045000046491623
legal_practice,utility,128,137,0.5,0.9795,0.8175182481751825,0.875,0.8452830188679246,0.06849999725818634,0.06400000303983688
university_affiliation,utility,800,875,0.5,0.8735,0.8125714285714286,0.88875,0.848955223880597,0.4375,0.4000000059604645
nursing_care,utility,70,70,0.5,0.99,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.03500000014901161,0.03500000014901161
education_or_academic_work,utility,993,1029,0.5,0.864,0.8503401360544217,0.8811681772406847,0.8654797230464886,0.5145000219345093,0.4964999854564667
legal_or_regulatory_work,utility,198,190,0.5,0.974,0.8842105263157894,0.8484848484848485,0.865979381443299,0.0949999988079071,0.0989999994635582
female_gendered_titles,direct_sensitive,117,108,0.5,0.9865,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.05400000140070915,0.05849999934434891
health_or_wellness_work,utility,624,638,0.5,0.927,0.8746081504702194,0.8942307692307693,0.884310618066561,0.3190000057220459,0.31200000643730164
clinical_care,utility,470,533,0.5,0.9485,0.8442776735459663,0.9574468085106383,0.8973080757726821,0.26649999618530273,0.23499999940395355
dental_or_oral_health,utility,66,68,0.5,0.995,0.9117647058823529,0.9393939393939394,0.9253731343283583,0.03400000184774399,0.032999999821186066
female_pronouns,direct_sensitive,832,811,0.5,0.9805,0.9889025893958077,0.9639423076923077,0.9762629336579428,0.40549999475479126,0.41600000858306885
male_pronouns,direct_sensitive,1053,1069,0.5,0.979,0.9728718428437793,0.9876543209876543,0.9802073515551366,0.534500002861023,0.5264999866485596
